ORDER_ID,CUSTOMER_ID,BOOKING_DATE,TRAVEL_FROM,BASE_LOCATION,TRAVEL_TO,TRAVEL_BASE_LOCATION,CUSTOMER_BASE_LOCATION,NO_OF_TRAVELLERS,FLIGHT_NAME,FLIGHT_FARE,DISCOUNT_RATE,TOTAL_FARE_AFTER_DISCOUNT,TOTAL_FARE_PAID,PAYMENT_MODE
23,PK-8910 ,24-01-2019,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Nagpur ,2,Air India ,7797,0.01,7719,15438,HSBC CC
31,JH-15985 ,25-03-2019,Jaipur International Airport – JAI ,Jaipur ,Pune Airport – PNQ ,Pune ,Tiruchirappalli ,1,Air India ,4145,0.08,3813,3813,HDFC CC
35,KN-6705 ,02-02-2019,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Bangalore ,1,Air India ,3747,0.03,3635,3635,SBI NET BANKING
205,JO-5550 ,15-01-2019,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Madurai Airport – IXM ,Madurai ,Amritsar ,2,Air India ,4273,0.03,4145,8290,HSBC CC
229,AP-10720 ,20-01-2019,Indira Gandhi International Airport – DEL ,Delhi ,Chhatrapati Shivaji International Airport – BOM ,Mumbai ,Jaipur ,1,Air India ,3440,0.05,3268,3268,HSBC CC
257,DG-13300 ,07-03-2019,Indira Gandhi International Airport – DEL ,Delhi ,Mangalore International Airport – IXE ,Mangalore ,Hyderabad ,1,Air India ,3369,0.01,3335,3335,CITI CC
283,KF-16285 ,01-03-2019,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Surat International Airport – STV ,Surat ,Jaipur ,1,Air India ,3746,0.02,3671,3671,CITI CC
307,LC-6870 ,01-01-2019,Jay Prakash Narayan International Airport – PAT ,Patna ,Kempegowda International Airport – BLR ,Bangalore ,Mangalore ,1,Air India ,2772,0.05,2633,2633,HSBC CC
320,MK-8160 ,16-03-2019,Dabolim Airport – GOI ,Goa ,Dr. Babasaheb Ambedkar International Airport – NAG ,Nagpur ,Hyderabad ,1,Air India ,3892,0.09,3542,3542,IDBI NET BANKING
322,EB-13705 ,10-02-2019,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Chandigarh ,1,Air India ,4998,0.05,4748,4748,HDFC CC
331,LA-16780 ,21-03-2019,Pune Airport – PNQ ,Pune ,Surat International Airport – STV ,Surat ,Goa ,1,Air India ,2820,0,2820,2820,CITI CC
348,MS-17365 ,17-02-2019,Surat International Airport – STV ,Surat ,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Kolkata ,1,Air India ,4207,0.02,4123,4123,IDBI NET BANKING
402,CS-2250 ,09-01-2019,Jay Prakash Narayan International Airport – PAT ,Patna ,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Delhi ,1,Air India ,3415,0.09,3108,3108,IDBI NET BANKING
474,AW-840 ,15-02-2019,Indira Gandhi International Airport – DEL ,Delhi ,Imphal International Airport – IMF ,Imphal ,Goa ,1,Air India ,6096,0.01,6035,6035,HSBC CC
490,DP-13165 ,13-02-2019,Sheikhul Aalam International Airport – SXR ,Srinagar ,Imphal International Airport – IMF ,Imphal ,Guwahati ,1,Air India ,3443,0,3443,3443,ICICI CC
496,DJ-3630 ,21-02-2019,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Calicut International Airport – CCJ ,Calicut ,Ahmedabad ,1,Air India ,5716,0,5716,5716,ICICI CC
521,JC-15340 ,02-02-2019,Calicut International Airport – CCJ ,Calicut ,Pune Airport – PNQ ,Pune ,Mumbai ,1,Air India ,3956,0.1,3560,3560,HDFC CC
553,TB-11400 ,02-02-2019,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Visakhapatnam ,1,Air India ,3990,0,3990,3990,HDFC CC
618,KL-6645 ,02-03-2019,Calicut International Airport – CCJ ,Calicut ,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Lucknow ,1,Air India ,3341,0,3341,3341,ICICI NET BANKING
624,BO-1425 ,14-01-2019,Madurai Airport – IXM ,Madurai ,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Visakhapatnam ,2,Air India ,4813,0.07,4476,8952,IDBI NET BANKING
646,BM-1785 ,23-03-2019,Dabolim Airport – GOI ,Goa ,Sheikhul Aalam International Airport – SXR ,Srinagar ,Srinagar ,1,Air India ,3771,0.01,3733,3733,ICICI CC
655,SS-10140 ,03-02-2019,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Jaipur International Airport – JAI ,Jaipur ,Pune ,1,Air India ,6849,0,6849,6849,HDFC CC
660,SM-20005 ,01-02-2019,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Dr. Babasaheb Ambedkar International Airport – NAG ,Nagpur ,Pune ,1,Air India ,2761,0.02,2706,2706,SBI NET BANKING
677,SP-20650 ,27-03-2019,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Surat International Airport – STV ,Surat ,Pune ,3,Air India ,3530,0.07,3283,9849,AXIS NET BANKING
716,MC-8130 ,28-02-2019,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Mangalore International Airport – IXE ,Mangalore ,Ahmedabad ,2,Air India ,2810,0.01,2782,5564,HDFC CC
722,RM-9750 ,07-01-2019,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Varanasi ,1,Air India ,4864,0,4864,4864,ICICI CC
733,PM-19135 ,15-02-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Hyderabad ,3,Air India ,3479,0,3479,10437,ICICI NET BANKING
754,EM-4065 ,15-02-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Pune Airport – PNQ ,Pune ,Kochi ,3,Air India ,3401,0.05,3231,9693,SBI CC
760,TS-21340 ,22-03-2019,Dabolim Airport – GOI ,Goa ,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Indore ,2,Air India ,5147,0.04,4941,9882,SBI NET BANKING
781,ES-4020 ,21-01-2019,Thiruvananthapuram International Airport – TRV ,Thiruvananthapuram ,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Mumbai ,1,Air India ,2826,0.06,2656,2656,HDFC CC
808,TS-21205 ,07-02-2019,Chhatrapati Shivaji International Airport – BOM ,Mumbai ,Rajiv Gandhi International Airport- HYD ,Hyderabad ,Indore ,1,Air India ,5245,0.05,4983,4983,ICICI CC
939,LH-6900 ,01-03-2019,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Sheikhul Aalam International Airport – SXR ,Srinagar ,Thiruvananthapuram ,1,Air India ,2707,0.05,2572,2572,ICICI CC
1004,JM-15535 ,25-02-2019,Kannur International Airport – CNN ,Kannur ,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Chandigarh ,3,Air India ,4591,0,4591,13773,HDFC CC
1060,PR-18880 ,27-01-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Cochin International Airport – COK  ,Kochi ,Ahmedabad ,1,Air India ,5328,0.02,5221,5221,SBI NET BANKING
1105,CS-12175 ,07-02-2019,Indira Gandhi International Airport – DEL ,Delhi ,Calicut International Airport – CCJ ,Calicut ,Ahmedabad ,1,Air India ,2996,0.05,2846,2846,HDFC CC
1158,CS-12460 ,19-02-2019,Dabolim Airport – GOI ,Goa ,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Nagpur ,2,Air India ,3132,0.01,3101,6201,ICICI CC
1182,FG-14260 ,03-02-2019,Imphal International Airport – IMF ,Imphal ,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Thiruvananthapuram ,1,Air India ,3168,0.1,2851,2851,CITI CC
1225,TS-21655 ,08-02-2019,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Jay Prakash Narayan International Airport – PAT ,Patna ,Madurai ,1,Air India ,3271,0.04,3140,3140,IDBI NET BANKING
1279,SS-20410 ,04-01-2019,Calicut International Airport – CCJ ,Calicut ,Kempegowda International Airport – BLR ,Bangalore ,Kochi ,1,Air India ,2884,0,2884,2884,SBI NET BANKING
1307,PT-9090 ,19-01-2019,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Bangalore ,1,Air India ,3305,0,3305,3305,HDFC CC
1321,ME-7725 ,15-02-2019,Pune Airport – PNQ ,Pune ,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Chennai ,1,Air India ,7224,0.04,6935,6935,HDFC CC
1339,BW-1200 ,11-03-2019,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Visakhapatnam ,3,Air India ,4410,0.08,4057,12172,SBI CC
1349,TC-20980 ,17-02-2019,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Coimbatore International Airport – CJB ,Coimbatore ,Jaipur ,2,Air India ,7873,0.05,7479,14959,ICICI NET BANKING
