ORDER_ID,CUSTOMER_ID,BOOKING_DATE,TRAVEL_FROM,BASE_LOCATION,TRAVEL_TO,TRAVEL_BASE_LOCATION,CUSTOMER_BASE_LOCATION,NO_OF_TRAVELLERS,FLIGHT_NAME,FLIGHT_FARE,DISCOUNT_RATE,TOTAL_FARE_AFTER_DISCOUNT,TOTAL_FARE_PAID,PAYMENT_MODE
8,BD-11620 ,07-08-2019,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Imphal International Airport – IMF ,Imphal ,Pune ,1,Air India ,4440,0.1,3996,3996,CITI CC
21,JL-5175 ,25-08-2019,Rajiv Gandhi International Airport- HYD ,Hyderabad ,Indira Gandhi International Airport – DEL ,Delhi ,Pune ,2,Air India ,3943,0.1,3549,7097,KOTAK NET BANKING
56,HG-15025 ,03-09-2019,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Madurai Airport – IXM ,Madurai ,Jaipur ,1,Air India ,4262,0.1,3836,3836,SBI CC
60,GH-4665 ,01-07-2019,Madurai Airport – IXM ,Madurai ,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Kochi ,2,Air India ,7353,0.03,7132,14265,HDFC CC
63,RO-19780 ,03-08-2019,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Jay Prakash Narayan International Airport – PAT ,Patna ,Ahmedabad ,1,Air India ,3111,0,3111,3111,ICICI CC
111,RP-19855 ,19-08-2019,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Chhatrapati Shivaji International Airport – BOM ,Mumbai ,Coimbatore ,2,Air India ,5404,0,5404,10808,CITI CC
122,DJ-3510 ,21-07-2019,Cochin International Airport – COK  ,Kochi ,Surat International Airport – STV ,Surat ,Calicut ,2,Air India ,3551,0.05,3373,6747,HDFC CC
153,GM-14680 ,07-07-2019,Indira Gandhi International Airport – DEL ,Delhi ,Kempegowda International Airport – BLR ,Bangalore ,Tiruchirappalli ,1,Air India ,8583,0,8583,8583,AXIS NET BANKING
158,LS-6975 ,14-07-2019,Coimbatore International Airport – CJB ,Coimbatore ,Bagdogra International Airport – IXB ,Siliguri ,Jaipur ,1,Air India ,2698,0.06,2536,2536,AXIS NET BANKING
163,SZ-10035 ,26-08-2019,Lokpriya Gopinath Bordoloi International Airport – GAU ,Guwahati ,Rajiv Gandhi International Airport- HYD ,Hyderabad ,Visakhapatnam ,1,Air India ,5356,0.01,5302,5302,ICICI CC
168,LH-7155 ,19-07-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Bagdogra International Airport – IXB ,Siliguri ,Hyderabad ,1,Air India ,8552,0.05,8124,8124,IDBI NET BANKING
191,CK-2760 ,24-08-2019,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Chhatrapati Shivaji International Airport – BOM ,Mumbai ,Mumbai ,1,Air India ,7748,0.06,7283,7283,HSBC CC
232,MH-8025 ,15-08-2019,Calicut International Airport – CCJ ,Calicut ,Tiruchirappalli International Airport – TRZ ,Tiruchirappalli ,Indore ,1,Air India ,2698,0.1,2428,2428,SBI CC
235,EL-13735 ,25-08-2019,Kannur International Airport – CNN ,Kannur ,Dabolim Airport – GOI ,Goa ,Ahmedabad ,1,Air India ,4492,0,4492,4492,SBI CC
262,ML-8265 ,05-07-2019,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Thiruvananthapuram ,5,Air India ,2745,0.06,2580,12902,ICICI CC
263,BD-1320 ,13-08-2019,Chennai International Airport – MAA ,Chennai ,Pune Airport – PNQ ,Pune ,Chandigarh ,1,Air India ,3797,0.08,3493,3493,ICICI NET BANKING
271,BN-11470 ,28-07-2019,Pune Airport – PNQ ,Pune ,Coimbatore International Airport – CJB ,Coimbatore ,Jaipur ,1,Air India ,2723,0.06,2560,2560,ICICI CC
277,JO-15145 ,06-09-2019,Kannur International Airport – CNN ,Kannur ,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Patna ,1,Air India ,2957,0.01,2927,2927,AXIS NET BANKING
300,BT-11530 ,27-09-2019,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Dabolim Airport – GOI ,Goa ,Kochi ,1,Air India ,3626,0.01,3590,3590,HDFC NET BANKING
303,PW-9240 ,06-07-2019,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Dr. Babasaheb Ambedkar International Airport – NAG ,Nagpur ,Visakhapatnam ,2,Air India ,2581,0,2581,5162,HDFC NET BANKING
334,NM-18520 ,21-07-2019,Kempegowda International Airport – BLR ,Bangalore ,Kannur International Airport – CNN ,Kannur ,Mangalore ,1,Air India ,6865,0.02,6728,6728,AXIS CC
412,PJ-9015 ,04-08-2019,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Chennai ,6,Air India ,3895,0.1,3506,21033,HDFC CC
448,KN-16705 ,22-08-2019,Coimbatore International Airport – CJB ,Coimbatore ,Lal Bahadur Shastri International Airport – VNS ,Varanasi ,Bangalore ,3,Air India ,3143,0,3143,9429,CITI CC
457,BE-11410 ,02-08-2019,Devi Ahilya Bai Holkar Airport – IDR ,Indore ,Bagdogra International Airport – IXB ,Siliguri ,Surat ,1,Air India ,3267,0.09,2973,2973,HDFC NET BANKING
469,EK-13795 ,14-07-2019,Biju Patnaik International Airport – BBI ,Bhubaneswar ,Sheikhul Aalam International Airport – SXR ,Srinagar ,Hyderabad ,2,Air India ,4459,0.06,4191,8383,CITI CC
471,CM-12235 ,14-07-2019,Chandigarh International Airport – IXC ,Chandigarh ,Jay Prakash Narayan International Airport – PAT ,Patna ,Chennai ,1,Air India ,9458,0.08,8701,8701,CITI CC
504,VG-11805 ,06-08-2019,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Calicut International Airport – CCJ ,Calicut ,Bangalore ,1,Air India ,6143,0.09,5590,5590,IDBI NET BANKING
