ORDER_ID,CUSTOMER_ID,BOOKING_DATE,TRAVEL_FROM,BASE_LOCATION,TRAVEL_TO,TRAVEL_BASE_LOCATION,CUSTOMER_BASE_LOCATION,NO_OF_TRAVELLERS,FLIGHT_NAME,FLIGHT_FARE,DISCOUNT_RATE,TOTAL_FARE_AFTER_DISCOUNT,TOTAL_FARE_PAID,PAYMENT_MODE
6,EB-13975 ,27-10-2019,Indira Gandhi International Airport – DEL ,Delhi ,Rajiv Gandhi International Airport- HYD ,Hyderabad ,Kochi ,3,Air India ,3645,0.08,3353,10060,KOTAK CC
34,PB-19105 ,02-11-2019,Dr. Babasaheb Ambedkar International Airport – NAG ,Nagpur ,Surat International Airport – STV ,Surat ,Kannur ,1,Air India ,7107,0.06,6681,6681,ICICI CC
37,AH-10210 ,22-10-2019,Kempegowda International Airport – BLR ,Bangalore ,Madurai Airport – IXM ,Madurai ,Lucknow ,1,Air India ,4130,0.06,3882,3882,ICICI CC
65,BD-11770 ,12-12-2019,Visakhapatnam International Airport – VTZ ,Visakhapatnam ,Sri Guru Ram Dass Jee International Airport – ATQ ,Amritsar ,Surat ,1,Air India ,4003,0.08,3683,3683,ICICI CC
85,LW-16825 ,02-12-2019,Madurai Airport – IXM ,Madurai ,Bagdogra International Airport – IXB ,Siliguri ,Kolkata ,1,Air India ,3576,0.08,3290,3290,HDFC NET BANKING
90,DB-3615 ,16-11-2019,Bagdogra International Airport – IXB ,Siliguri ,Chaudhary Charan Singh International Airport – LKO  ,Lucknow ,Lucknow ,2,Air India ,2899,0,2899,5798,HDFC NET BANKING
109,CC-2550 ,13-10-2019,Calicut International Airport – CCJ ,Calicut ,Jaipur International Airport – JAI ,Jaipur ,Thiruvananthapuram ,1,Air India ,4132,0.04,3967,3967,ICICI CC
127,AJ-780 ,21-11-2019,Lokpriya Gopinath Bordoloi International Airport – GAU ,Guwahati ,Madurai Airport – IXM ,Madurai ,Bhubaneswar ,1,Air India ,3574,0.01,3538,3538,KOTAK NET BANKING
132,DL-3495 ,20-10-2019,Lokpriya Gopinath Bordoloi International Airport – GAU ,Guwahati ,Sardar Vallabhbhai Patel International Airport – AMD ,Ahmedabad ,Jaipur ,1,Air India ,3818,0.02,3742,3742,KOTAK NET BANKING
169,JL-15850 ,14-10-2019,Chandigarh International Airport – IXC ,Chandigarh ,Imphal International Airport – IMF ,Imphal ,Lucknow ,1,Air India ,3591,0,3591,3591,SBI CC
206,RB-9465 ,15-11-2019,Kannur International Airport – CNN ,Kannur ,Netaji Subhas Chandra Bose International Airport – CCU ,Kolkata ,Calicut ,1,Air India ,7006,0.05,6656,6656,ICICI NET BANKING
237,KT-6480 ,26-10-2019,Madurai Airport – IXM ,Madurai ,Bagdogra International Airport – IXB ,Siliguri ,Kannur ,1,Air India ,2809,0.06,2640,2640,HDFC CC
296,KA-6525 ,23-11-2019,Kannur International Airport – CNN ,Kannur ,Dabolim Airport – GOI ,Goa ,Calicut ,1,Air India ,2546,0,2546,2546,KOTAK CC
